Country,Year,Tech Sector,Market Share (%),R&D Investment (in USD),Number of Patents Filed (Annual),Number of Tech Companies,Tech Exports (in USD),Number of Startups,Venture Capital Funding (in USD),Global Innovation Ranking,Internet Penetration (%),5G Network Coverage (%),University Research Collaborations,Top Tech Products Exported,Number of Tech Workers
China,2017,Biotechnology,35.53521173691345,95533332309.68318,4156,68,68616996019.061516,50,44404674859.744835,8,81.30813758973657,47.79262021225887,30,AI Chips,682620
China,2010,Biotechnology,13.532670512762063,5400157831.56583,9011,1342,71658525801.72614,54,12341444679.497112,10,56.95002950699457,44.53030750277147,109,AI Chips,888256
Japan,2003,Biotechnology,9.898340496394457,19254898349.58922,4090,1069,184263965055.20724,462,44809973353.58215,9,46.50416454626793,72.84532759789944,122,Cloud Servers,211213
Japan,2011,Software,6.893192353959552,84356931489.11172,6809,758,27384364172.861668,388,9143980534.501646,18,60.690715546240455,51.178203809363936,191,Semiconductors,433949
China,2016,Biotechnology,17.327725117034408,73955373934.19005,4426,150,78084473986.21233,350,5806298140.38629,8,95.04122895142778,41.7739003050599,181,Semiconductors,129316
Japan,2006,AI,13.655558790698908,85092328002.4806,452,68,135281168347.94624,375,35045374513.68744,7,76.32299987012749,75.78250915407173,46,Cloud Servers,654701
Japan,2021,Robotics,14.80061323029021,47468229891.43306,9386,1271,62365666058.18113,92,48635833864.29009,1,57.2121842962264,86.9938900450445,49,Semiconductors,778490
Japan,2004,Biotechnology,13.14813942826357,13321325981.765423,3646,602,91399869385.89465,434,19449998552.45445,6,61.565683036662676,55.897375119371105,118,Semiconductors,329120
China,2022,Biotechnology,16.049074748387806,83708312258.08104,3363,902,111335873253.9364,80,24928143956.414356,19,58.66281093365454,38.93268351246252,137,Cloud Servers,956488
China,2013,Software,16.402725870619335,82748240749.12457,3461,843,184501062269.6022,106,48909717152.34067,5,82.96313760224672,81.34572242992473,100,5G Equipment,263188
China,2023,Telecommunications,46.47996493420881,23537156022.76566,2406,72,23209556580.975143,291,3282283038.8827195,8,77.90641545395968,45.859179689091,69,Cloud Servers,450440
China,2017,Software,31.452411252175324,99247270372.47217,7553,1744,5079542269.621769,315,5302621443.2965555,11,60.10037391756626,43.7967225428546,118,Robots,483884
China,2020,Software,17.16619233627224,52783370999.841484,7598,1873,24179143359.99304,400,27863654282.617516,13,79.035514955081,43.17825983617564,149,AI Chips,604587
China,2019,Telecommunications,5.848933977979057,31774455346.07178,4600,1223,114010334880.63062,243,17917049957.95641,8,76.27629413769444,16.383160413017556,91,AI Chips,94643
Japan,2003,Semiconductor,8.254588898202641,34565912587.502396,3573,1526,184987945913.82376,306,33658297838.95556,5,97.34091773793529,82.94748540047054,104,AI Chips,953041
China,2001,Telecommunications,41.597303154058096,49555598275.27754,3869,1425,181502816607.4387,396,34997618259.26313,10,88.64209285367039,26.173579186560183,77,5G Equipment,459266
Japan,2003,Cloud Computing,10.675566250441749,15826457949.263304,5432,779,58739219848.71227,287,30095258870.755436,17,65.03425121700836,25.27308508713654,45,5G Equipment,502253
Japan,2000,Software,25.5284269007041,12310460718.266716,7171,493,16875732511.84799,18,21619985751.017006,8,72.17873465809151,64.85222552119068,151,AI Chips,105711
Japan,2013,Robotics,6.64524524043472,55807847978.52627,1191,1259,31877442012.428627,366,19810133860.154087,15,63.80647703605608,10.634484818012657,180,Cloud Servers,876449
Japan,2016,Cloud Computing,48.055515372445335,3741421888.793472,5339,144,48680324012.01541,120,13624149000.157522,4,92.31728479661913,10.690170011355073,124,5G Equipment,737641
China,2001,Semiconductor,30.007407395668544,20374995330.596413,7147,1404,150482642008.1128,25,29689213035.27365,8,77.16844854821863,87.42289712101409,136,Cloud Servers,866025
China,2006,AI,26.524806443850924,99975366459.84787,9537,844,46038556540.16065,274,2411072627.3142548,4,78.51723563722376,88.84915394098158,182,5G Equipment,476817
China,2003,Biotechnology,44.43245767611879,92029352488.84328,4565,486,25042983018.428722,336,38578628398.82212,12,81.24324088162189,74.37477878066274,104,AI Chips,192863
Japan,2013,Semiconductor,33.18045379789761,81386663471.63081,2705,254,26824102532.94798,425,12909362972.78051,1,60.077176629012925,22.496106324586236,42,5G Equipment,366187
China,2017,AI,40.252802963328875,63502082571.79714,5272,261,35942753802.00132,46,9866562116.383844,13,55.313901468609906,82.3159453403204,149,AI Chips,979719
China,2019,AI,16.230024244793434,11071129193.831877,5508,719,67376175787.70439,267,46357100212.13118,10,63.78247904881314,14.525304145834621,86,Robots,422987
Japan,2016,AI,26.21920455304538,10044412294.416618,1744,1107,27847995674.697353,282,45536852138.13695,13,41.40309535879571,43.07291298409182,144,Robots,54084
Japan,2021,Cloud Computing,44.768753627225394,53466346886.003204,8660,1699,193367941142.66953,371,15271689484.326792,18,88.07708758488434,15.733179463603877,39,Semiconductors,273961
Japan,2014,Telecommunications,34.75397645716001,38909261339.34324,1249,620,88163556432.59636,57,12262173935.807013,8,87.09131161292673,57.606464593045786,136,5G Equipment,419813
China,2018,Telecommunications,49.05513186291317,1056575374.1859782,5103,468,196303243185.73694,375,43317569685.389854,7,68.49752935657054,20.33620756561885,175,5G Equipment,423843
Japan,2022,Software,30.10335850716584,86741139650.5112,3598,1546,104123882748.01175,271,6469867253.171571,10,58.66401637371955,47.83546034432459,71,AI Chips,342155
China,2019,AI,28.452606504403327,59964936752.93988,5582,830,64509341722.54303,206,5321960008.870225,11,47.60191360203124,48.91829768674092,39,AI Chips,32651
Japan,2005,AI,13.374703808024579,33665606848.511627,1252,324,14678727157.654432,272,26868301597.82499,10,74.86608996471146,42.75558377801027,86,Cloud Servers,473737
China,2006,Biotechnology,5.587291941063428,84571183331.91144,2116,534,57185225930.19912,51,26440710254.258995,7,67.82501201304353,78.63909758106837,169,AI Chips,216689
China,2002,Software,20.535803222251957,80715623913.66916,5465,1435,22477092053.08964,419,3295962714.750363,14,82.37230620271345,68.03900413153744,7,Robots,7674
China,2023,Semiconductor,42.3661505528943,96840119430.23505,4814,661,116942638499.78358,357,47285384791.91603,6,57.45762880723015,75.42490239780443,154,Semiconductors,794751
Japan,2011,Cloud Computing,34.10403789864464,95981278668.8138,9091,1143,71276082274.77156,257,37003063059.993614,5,52.65409417560811,50.42033678330037,41,AI Chips,613101
China,2015,Telecommunications,35.11460534568917,70842984013.67719,2406,1289,36223721033.16061,278,24079652857.53205,2,45.57956673949902,52.55345506926972,153,5G Equipment,25710
China,2012,Robotics,40.22697375985016,49047656391.82822,740,1489,21689885606.612724,397,6156977885.246058,5,96.7407133657324,56.993664250857265,191,AI Chips,751399
China,2018,Telecommunications,47.34121353580887,63266061699.42089,7789,1829,85361785969.46092,274,2929489388.5890813,7,58.9795867629926,46.463040550336785,76,Cloud Servers,529853
Japan,2000,Robotics,31.114185353739533,17618047524.588066,961,759,50528242221.45744,19,11429197427.217281,12,96.1227542900456,58.09082960821141,64,Semiconductors,519586
Japan,2021,Cloud Computing,43.980455191152295,54313746829.278114,761,1995,53797545316.22244,173,39560841346.91289,13,92.05241789500178,36.335939059752434,29,Cloud Servers,354409
China,2021,Robotics,43.98564380821994,72709415950.95122,8922,301,19513057721.172504,498,12154495400.278633,1,72.60271518813997,39.95884301156411,40,Semiconductors,225239
China,2018,Biotechnology,25.67424279743302,74638515759.79776,1077,928,77968545123.69923,125,48543538961.23693,5,65.8431046180182,89.3377841097744,27,Semiconductors,980830
China,2010,Biotechnology,31.356949374049268,50598516944.707924,1003,1222,149635515453.9504,392,39170223249.170654,14,51.38066976886235,63.16145610717381,63,Semiconductors,111281
Japan,2018,Telecommunications,48.0548342401256,40053176372.480576,8546,502,21709006316.89915,102,26477041691.326756,5,90.39741073638186,18.808805034921612,38,AI Chips,565499
China,2017,AI,32.26290939139636,86318981017.97469,3694,65,171877559467.94104,489,11376822275.834833,11,97.58271238494773,46.91143447003758,19,Cloud Servers,970939
China,2012,Biotechnology,11.84017589818999,57991762637.69756,5707,70,159202063714.0653,255,435700841.0542573,14,67.47335431641389,73.63743488592115,60,AI Chips,11630
Japan,2016,Software,15.768492534842421,72784936185.20003,8492,337,21037047625.52507,400,13345289711.442068,3,85.33453850900273,60.49164576012197,53,5G Equipment,506264
China,2000,AI,26.217134283164615,70068687212.78764,5709,376,60870462861.35865,280,22125244167.046894,10,97.82711562216366,19.878565484429124,62,5G Equipment,932413
Japan,2001,Telecommunications,41.022186752955044,10463300938.167583,7326,1952,104270908438.24527,319,27065294706.67194,6,65.80686356991922,48.70771899771636,45,Semiconductors,958161
Japan,2017,Telecommunications,13.00565547088961,30006996257.292847,6757,114,160009348830.31073,71,27291183480.703274,18,74.69089381791423,64.97352290505839,65,Semiconductors,835798
China,2018,Robotics,6.687240804458295,7289581666.843853,6774,1197,133429964771.84178,487,38741652110.87489,10,99.11678162695404,81.42339971909101,10,5G Equipment,76073
Japan,2004,Software,29.70028834287125,98468688333.8392,969,1291,103552384487.57008,463,24656314364.756443,17,58.163554260515426,39.261738406817194,121,Cloud Servers,739703
Japan,2000,AI,18.23012866393136,49307054421.12355,3871,314,91594310361.98192,17,6445311224.874483,12,77.80953614745562,74.83235396861491,91,5G Equipment,451291
Japan,2014,Semiconductor,36.467980678719684,46086497175.08658,3939,1461,6375343757.779609,165,48015078896.25859,16,53.43571408100597,55.215950611613366,13,AI Chips,994850
China,2000,Semiconductor,15.898961582613946,92489105530.56305,5225,1213,15080109027.451996,109,6256873317.104108,4,76.69291776947553,28.20342415918443,33,AI Chips,51354
Japan,2006,Semiconductor,11.432683700973293,35703002202.68968,2493,845,107114362873.17471,232,43397523055.191734,9,70.88234711016831,69.35915664772301,46,AI Chips,581867
China,2011,Telecommunications,42.50162440116428,76693942564.05916,7534,1445,26113271579.326134,494,34981196651.30205,16,44.48281540684006,29.564671431780525,194,Robots,973546
Japan,2010,Biotechnology,6.236752297764507,72019246721.73477,468,745,12194928494.69945,91,1621100781.2927392,2,42.08672112392468,37.86510790492622,68,Cloud Servers,117412
Japan,2012,Semiconductor,16.298793730415795,80173316735.89557,3254,1914,38549553775.578186,351,14194068266.518183,13,44.4216622253095,87.93599491892456,98,5G Equipment,557972
Japan,2012,Telecommunications,10.578389002223734,16197841500.171566,3876,673,70200339255.93239,274,42875477206.53297,16,43.935671181232514,17.911172881544537,62,AI Chips,842079
China,2003,Cloud Computing,10.219107996633674,94846532968.34529,7331,406,199728031484.51743,81,30116067558.05129,5,81.23574853704858,42.16566015582184,34,AI Chips,651472
Japan,2021,Semiconductor,5.271018806345477,33486242622.144226,4122,748,188529810070.5026,446,16162581473.811073,7,81.10406470148506,63.06970242284032,168,Robots,98184
China,2020,AI,23.713315449860698,52226957138.366035,9541,224,185074510120.59964,124,5845688830.437097,8,78.74405640073485,86.22451302887065,164,AI Chips,902190
Japan,2004,Cloud Computing,39.69003853324133,95131409755.92648,447,737,188731452071.66315,150,3538421758.444802,17,48.90938079838523,63.180007754248386,2,5G Equipment,437506
Japan,2005,AI,37.80983099340017,25669452951.708565,8743,1704,189111684047.15912,245,24718054432.609,7,96.19158341989032,70.86548678376599,165,5G Equipment,847567
Japan,2001,Biotechnology,25.01615858176045,4057787857.603728,9066,472,158560186990.81177,249,22920736564.517498,5,83.16281605761876,39.76880292199952,184,Robots,176417
Japan,2003,AI,32.501040345595726,52897969718.33144,6486,1110,177257568344.0949,130,632715902.4948912,14,52.67544857309723,39.328882500665266,23,Semiconductors,100126
China,2007,Robotics,11.574376587517472,75817965504.99222,8138,1908,72156868641.61015,343,46202254816.920456,5,43.81337963718347,81.04074823222237,5,Semiconductors,478756
Japan,2012,AI,49.850426718676395,91491731467.78769,1371,1538,156384859725.8024,495,28680715436.717205,6,96.2486709010089,11.209143723376114,144,Cloud Servers,43337
China,2022,AI,18.570745982920343,22836682110.64278,423,604,155716108267.74744,291,44042512322.63259,9,81.46894966102181,12.717668146164955,103,Cloud Servers,474511
China,2008,Biotechnology,42.04526682760084,40117752249.12691,9063,1396,29957197712.293037,223,7640477316.968718,17,93.81153958133106,49.84821846154941,14,Robots,280403
China,2000,Software,9.85912112653449,36811526471.9368,3824,316,33840723670.49345,261,22695317614.867134,12,85.08288000140914,58.80997477121149,54,AI Chips,316176
Japan,2006,AI,31.855207005604427,48522773685.40037,3601,1297,173636542049.82916,104,15361588953.801353,3,68.14064998715257,47.661297024691166,92,Semiconductors,636721
China,2013,Cloud Computing,27.857735700855617,77974140859.79794,8573,1626,95058755598.1287,150,5408942871.579727,5,89.7340166556792,67.42545529430154,103,5G Equipment,831750
Japan,2004,Cloud Computing,12.403805467792361,90966149948.15532,8080,1225,174750036363.107,452,38003093669.54959,10,89.95436358087602,67.23038012209886,154,AI Chips,635092
Japan,2022,Semiconductor,23.21958654212682,48253128385.402534,7065,153,51117935880.63662,300,13513445585.180138,2,94.33087383599762,26.93689401802393,68,Semiconductors,823389
China,2023,Telecommunications,21.935174713565107,74194226724.77852,8710,434,78841484131.25256,275,32916104625.4314,3,59.33220685367957,86.83346575395137,41,AI Chips,512761
Japan,2017,Telecommunications,21.667114365083325,62341870640.56434,8991,925,107755397826.00137,467,44643133974.60415,17,61.887271541144614,12.623326891431752,162,5G Equipment,761796
Japan,2021,Cloud Computing,29.228927033632587,68340361706.14004,9143,1498,177387738626.9039,466,47312896031.0113,4,64.67000143564158,39.78444618146849,10,Robots,160360
China,2012,AI,34.87841102277774,56654880455.35361,276,1760,108041090929.96925,349,40418291657.02044,11,59.439871408843544,56.952477661603275,128,AI Chips,724397
Japan,2017,Biotechnology,28.61605875337145,49164116893.23133,1841,749,10811827718.931284,27,46844101763.80178,5,59.2874583457087,39.00800479676213,105,Robots,652096
Japan,2011,Robotics,27.979122763277537,67047139462.7782,7231,97,138152311526.08887,488,8968997452.19605,13,43.758986427670585,10.043427087877204,134,Cloud Servers,979680
Japan,2019,Software,20.713745973783944,3345624809.7618747,217,524,85254150867.99902,369,40241966926.922455,7,73.38850160054349,63.5211614434099,125,5G Equipment,767006
Japan,2022,Software,38.935233808642174,81303413060.30394,9906,1299,143107148091.88626,148,13980703629.775965,6,60.67762867951865,39.89646073289586,127,Semiconductors,410918
Japan,2018,Software,10.247111571073027,52441171612.08086,7762,1055,39613310564.20299,162,45845620050.95577,8,42.97074758836287,88.93395404716536,154,Cloud Servers,899694
Japan,2007,Biotechnology,13.596463079542271,57011474987.15811,3574,262,191552505517.11212,181,35456237148.05068,3,52.351948750404404,26.873407407818135,83,Cloud Servers,339803
China,2009,Cloud Computing,21.91336072049365,7053129242.407506,9607,464,47566538705.00333,178,19509807491.560406,9,72.40207462115242,63.94687147805804,66,Semiconductors,790161
China,2020,Biotechnology,8.046707005970948,30537724535.057682,6532,1087,194858151338.4677,16,22529975735.422443,4,43.224307510288284,81.93460440296829,84,Semiconductors,37221
China,2014,Biotechnology,14.201946236335772,63964229621.984924,9533,1213,177878805821.06403,415,6523612093.769798,4,76.07849094010656,49.14852743563323,35,Robots,742341
Japan,2021,Robotics,13.606544709675644,38777080673.31199,5350,446,7551282407.117981,158,24853092289.246548,17,58.08435099838318,89.20921433299378,103,Robots,672962
China,2003,AI,6.135230775151875,19570014781.954094,8900,98,59851805414.20634,397,13488359327.91473,17,78.18847073466964,20.5183288768748,14,Semiconductors,221271
Japan,2018,Robotics,35.931566684893724,44246173297.49943,8083,467,60879433837.411316,194,29540430738.29234,16,67.14982913270556,38.30933581940652,55,Cloud Servers,117699
China,2003,Robotics,23.193875471689548,57660582603.96415,6398,1707,41926497540.95457,490,29196834168.920933,10,49.11324289195168,57.48039417944702,92,Semiconductors,696405
China,2016,Semiconductor,30.69345620917389,37811936368.90412,5703,339,134616866883.74702,468,11564862528.827015,2,63.48998637988376,66.95820177212988,65,AI Chips,319341
China,2023,AI,22.00458907396202,50856655604.536285,8077,1182,196693824637.81546,249,1360494071.0372298,17,69.05402700603315,76.23672312028818,156,5G Equipment,350287
China,2003,Biotechnology,45.04293879181101,21398153576.512146,9759,396,115397303451.77954,128,47611305305.63698,15,77.86531578471276,70.27695163111022,32,Semiconductors,672223
China,2021,Software,17.871876899102453,92315103803.7293,5599,1849,128449793251.96555,211,42081310376.591064,8,71.86443711390007,71.72646230278765,1,Cloud Servers,207190
Japan,2000,Telecommunications,41.070728535681965,39251813751.08535,2058,885,106580235736.29541,106,6026097718.73079,8,97.70928146804562,71.03053299511387,188,5G Equipment,764513
Japan,2015,AI,21.210253844460016,22670361057.435722,2256,1463,10461690491.521635,35,3910424615.300829,17,82.53446568776604,29.818359786343038,42,AI Chips,925150
Japan,2004,Semiconductor,39.9065132097143,34309658693.483734,819,907,164232715961.19946,248,24093488293.220966,3,48.39528462524591,38.34837470402688,196,5G Equipment,29761
China,2005,Cloud Computing,24.480751007914478,54339776217.29899,1391,1280,47569079166.00511,463,39744087897.84628,5,52.93467355777365,14.261362680971947,81,AI Chips,977089
China,2020,Semiconductor,49.20640677322201,12563531166.584106,8991,1856,93213880013.62375,454,33955609386.384,19,66.98046076199097,75.81390793930795,133,Cloud Servers,139208
Japan,2017,Cloud Computing,32.916664657480496,28098065432.856403,6132,1968,47036296615.60413,135,35503186839.72015,13,44.06223775275507,40.272969226028685,57,AI Chips,568653
Japan,2017,Biotechnology,18.976398706474644,84752328418.17198,7468,1006,72659768041.1041,238,20351688223.7152,13,54.12545331535406,78.64192347175471,104,Cloud Servers,121077
China,2009,Software,9.219313948039227,71205956759.49599,1913,1375,141430202549.11664,397,27151108899.43359,1,76.56565317638098,38.55713467553224,75,5G Equipment,65552
China,2017,Cloud Computing,13.978244893576157,75549484688.19682,5964,1705,157065221466.84424,423,7456635545.812828,6,55.916776902334725,60.015577207997694,131,Cloud Servers,258113
China,2022,Cloud Computing,45.832157971530975,86293622578.30809,9333,813,60017875226.499016,378,41878108929.985825,5,99.64029760999037,85.76544395696925,116,5G Equipment,163961
Japan,2016,Semiconductor,49.17600304129165,7794596211.073101,1616,187,51152018151.7367,449,44104789356.92689,18,72.72115278308985,60.741597893813946,153,AI Chips,622256
China,2002,Software,37.44354728803711,56632870336.68306,7458,1775,128501655948.86285,32,14885272861.049112,4,76.41544849637305,19.690383127626614,100,Semiconductors,15965
China,2023,Semiconductor,10.283871609549294,42236974869.05344,8032,377,38103920974.188866,14,24330259092.64111,4,78.46565494834016,17.834823731966658,66,Robots,946541
Japan,2002,Telecommunications,40.57485529836287,90563988013.89346,5568,847,184749184198.4156,202,28503240205.69179,14,51.66398774246082,55.22933902957377,129,5G Equipment,399352
Japan,2015,Biotechnology,24.85175340334833,33666977738.747986,9564,1367,193177313011.43866,238,27555040335.61539,11,51.218467992563134,89.03378874006047,84,Cloud Servers,189329
China,2019,AI,18.79566840843264,28934112591.688255,1340,1030,1458226642.4912605,459,13139112092.522253,17,96.48239402152855,14.746838553046988,52,Semiconductors,612722
Japan,2001,Cloud Computing,16.914651151056358,23431786387.230827,1891,1270,23254483812.988297,36,15948593502.593512,15,98.6517764505026,16.193039007449272,2,Cloud Servers,804817
Japan,2004,Cloud Computing,20.222198078230008,85566266865.49257,4782,1502,133198863212.59033,131,29482098282.406097,11,93.51749600922093,34.82721346523658,40,Robots,771796
Japan,2003,Telecommunications,25.418213480670282,25771135547.626877,475,1085,164532870988.1156,327,35027582725.20912,11,96.71040916787817,64.35219854635942,125,Semiconductors,817957
Japan,2011,Robotics,33.45318828139206,24527159679.426456,7543,1726,135943148489.43839,254,5609060244.144466,12,74.92232061124474,76.35645007285889,169,Robots,279550
China,2014,Biotechnology,30.380895487500815,41091791570.84398,6418,63,105647054743.05478,375,40258153722.49946,10,97.08273629427165,75.30399376257583,61,5G Equipment,819678
Japan,2011,Cloud Computing,35.81450779290947,43310747802.65546,366,1484,62104252035.673065,365,32190738856.159924,8,74.19381033317597,64.94718329285223,175,5G Equipment,109296
China,2004,Semiconductor,36.94748610624849,56315362311.10762,8451,280,147870946433.1742,35,25551299783.23837,8,86.0119883131472,74.7311977712114,53,Robots,648351
China,2010,Semiconductor,26.904450887257042,13034039853.16259,6794,1752,187559164080.42477,54,26826661678.10795,15,77.216517254054,18.197125742359475,141,Robots,590464
China,2002,Cloud Computing,33.02850022203445,54294694446.14686,6717,1274,164046477935.33987,77,31103190218.349106,5,57.73761643701948,51.53412750435103,131,AI Chips,376565
China,2016,Robotics,44.072936666006136,66280494140.40489,6097,1423,89096773757.33061,343,18473876741.90987,3,97.01785715282428,36.807197047464946,184,Semiconductors,508102
Japan,2012,Cloud Computing,40.836680387473855,52951986368.3791,3796,1990,44766198911.53497,209,25217218103.754208,14,89.7355271252577,12.658485623706186,54,AI Chips,76370
China,2002,Telecommunications,41.959806699231656,60207753589.79169,4407,247,35969489197.124374,196,14106730498.354364,5,73.31601752567333,47.576081067538325,80,AI Chips,665449
China,2002,Cloud Computing,46.5072490672024,31519126812.70522,1290,1478,141951003264.07608,480,28132208186.493378,3,70.90964549655163,82.3439297358613,89,Cloud Servers,216687
China,2020,Software,10.169406965452179,48083357760.35681,4477,1926,102053934566.99376,114,2897777334.4475884,7,60.08285361182182,45.39942275615863,69,Robots,820242
China,2013,AI,38.69071994879347,90341599088.18489,7383,546,58486626390.17705,286,39921910264.56694,9,54.885400004369345,30.531444343962892,103,AI Chips,229929
China,2017,Telecommunications,33.006940504694484,37349097463.86701,7916,1202,22926579648.063698,423,3521363586.876143,19,75.25811795482184,87.57074209119585,136,Semiconductors,293165
Japan,2020,AI,22.345557997395105,16196175555.777655,3125,146,143864411526.65707,477,27553140503.085083,10,48.662200486010185,85.61050243697485,95,Cloud Servers,749523
Japan,2018,Semiconductor,9.49161025127228,29829554581.578896,7495,1161,65812501437.257645,395,25773690405.40033,1,66.59104387028827,57.48568892771735,29,Semiconductors,393223
China,2023,Semiconductor,37.55239104945127,91254529847.45248,7645,1620,172882599074.19388,140,45833935224.85308,16,64.62371691569552,62.50521727478101,68,Semiconductors,257355
Japan,2010,AI,31.944697343826984,36868830247.211845,2505,1413,155554872621.8398,194,10186780081.440945,16,49.05541120874272,20.79700902417094,115,5G Equipment,303944
Japan,2003,AI,44.4924425947058,72446278919.244,5812,1568,71365158741.45923,461,13578747913.731829,6,48.38891947405723,82.21536794737487,162,Semiconductors,364084
Japan,2009,Robotics,5.033958715696682,92406973012.73476,2648,77,177379508886.3764,113,6609853687.252488,19,58.73946803272135,57.62174318632614,141,Semiconductors,215291
China,2023,Biotechnology,49.082220302768384,83009822715.29517,9801,1552,167756442034.92514,127,27569520303.59251,19,50.48452136765435,28.22538666027606,57,Semiconductors,94770
China,2021,Biotechnology,49.414074069502334,48757622948.06674,9832,709,46057362188.17146,19,376364051.625421,17,78.96882804614553,59.334618052614346,95,Robots,883614
China,2015,AI,15.542447265793509,62845454302.8861,8959,311,70321775634.8154,357,26100485153.128468,5,72.6598656052505,10.763944873336317,43,5G Equipment,304765
Japan,2018,Cloud Computing,33.59614731748889,33791099328.492134,5440,1095,103425966041.23955,101,1952675233.7620559,3,68.63063973485394,76.79674960142174,110,AI Chips,56829
China,2015,Robotics,44.33307707382078,25374810639.666466,6634,905,102487796697.73465,295,29714035540.41779,10,88.57716845077907,47.39750365962579,145,AI Chips,97273
China,2013,Semiconductor,34.77236197581825,38628161409.94139,1258,685,199139680475.2359,43,19091475207.36437,12,62.663039188479516,36.953611499375796,149,Cloud Servers,15409
China,2004,Robotics,11.154196091385243,51848589719.8311,469,1147,5808515236.540657,413,13084323056.527287,19,77.0964344210071,16.21022194542426,167,Robots,844168
Japan,2004,Biotechnology,44.57821418485793,61906297156.175125,4905,1549,72890240207.26859,73,30176577738.31058,3,95.13420863365818,25.602106614632987,4,AI Chips,458645
China,2004,Robotics,47.22138572847569,73912052901.13893,7744,1219,62833120539.78083,498,21887809299.68653,11,86.69695538293152,83.76983760832927,68,5G Equipment,226293
Japan,2009,Biotechnology,45.51405303904077,78726545496.97014,8428,1757,189170690350.1497,431,37573193864.79866,18,74.3696262166141,20.618727230630896,123,Semiconductors,815890
China,2020,Software,32.08553494274839,20407215025.566692,2709,1417,33287416444.912918,258,13172761404.527163,6,91.4130691829547,35.11057602288001,141,Semiconductors,639279
China,2003,Software,20.269847902467113,93195248486.06087,2169,203,197337710401.99945,208,37676656848.06092,2,49.9522042710995,23.868716480398923,56,Semiconductors,488923
China,2000,Cloud Computing,13.110643602765744,30089664548.443363,5660,317,152191106421.90225,324,34471831281.33563,11,95.8342486882757,13.674702423641225,26,Robots,453524
Japan,2007,Cloud Computing,34.06581244263808,67137216693.421364,2893,1960,124220352357.55524,320,43332295473.613846,9,83.77624646925425,76.05570577977414,71,Robots,39758
China,2004,Biotechnology,7.654547885328307,39326197659.40005,5850,983,136964767675.1083,297,10384228060.138988,10,62.820476872732414,89.54119964756607,61,AI Chips,838824
Japan,2013,Semiconductor,32.516440305269185,5316379849.929408,9819,623,7181995856.859762,132,6324338915.54324,18,42.559862966531036,58.16294874927066,53,Robots,647532
Japan,2009,Telecommunications,42.27553750290607,88013834592.1327,7055,874,62624311453.60165,343,47746283954.19593,16,54.02336422217737,37.54203763153393,190,5G Equipment,973204
China,2018,Software,28.387286290508964,83752347106.10052,2584,1662,183346182242.91812,327,20879860003.95427,8,56.894459121018,32.514198582493165,196,5G Equipment,743167
Japan,2002,Semiconductor,17.407208038899554,49323899949.66221,7819,1170,129814251989.49959,388,35259758028.71178,5,82.14079211706871,55.96812562715485,13,Cloud Servers,331007
China,2020,AI,10.795383270856128,35097295007.88617,4587,1273,183722022601.71936,123,46537444832.59836,1,44.58086179589519,52.46143515450602,69,5G Equipment,609888
China,2022,Robotics,21.88906623657693,78695834253.21349,9130,238,139372825770.75006,160,42989532119.33812,16,80.22046889672507,32.91223353750038,165,Robots,167842
China,2021,Telecommunications,36.50862682199947,5790005028.725148,7311,674,53372182826.00601,100,11947259843.362377,16,60.01445313368312,18.174877803395077,74,Robots,798506
China,2012,Robotics,49.12646247562696,8379123189.252387,8884,602,100769949368.3824,321,44164380208.619125,9,60.12532559106145,60.263780289744886,154,Semiconductors,596274
China,2009,Telecommunications,28.25463469410658,8560261183.426397,7358,593,5898336957.1601715,246,23814083846.332767,13,71.64992647699822,12.001230997624042,158,Cloud Servers,387123
China,2019,Semiconductor,38.1173056010123,56422572151.49683,3171,1720,159313975686.23892,66,22535254163.010414,19,83.98045839155881,64.05334076074877,98,AI Chips,212831
China,2008,Cloud Computing,36.162432521857696,40643323150.736176,9844,471,165539661881.6752,493,16488831260.093962,5,94.65575931256468,77.0182570557452,108,Semiconductors,749407
Japan,2008,Telecommunications,11.20245803354474,10868982064.62106,1624,81,49355546619.987915,85,42792842421.93615,7,94.17928263760004,82.64849785718886,141,Robots,536756
China,2022,Semiconductor,20.593630989857278,46321435297.41414,8713,971,143127219090.7474,279,45848084489.27659,6,74.99545832444961,75.49300505522403,109,Cloud Servers,628035
China,2015,Cloud Computing,35.39248020527542,11929854322.145132,3614,593,72610829415.17345,255,37004965661.99357,14,61.1902085887413,72.98353058040632,160,Robots,723900
China,2023,Semiconductor,45.91575996665342,36480941959.131775,1401,333,181313918151.33926,110,27830414610.650333,12,71.12374456377657,15.59857586491833,72,Cloud Servers,975156
Japan,2001,Telecommunications,28.495701988039695,95114057911.10486,2625,379,11408313048.270227,442,22371825116.195705,1,40.779191570535765,48.78533246587243,20,Cloud Servers,857522
Japan,2017,Robotics,14.594422148825414,52368517482.0561,8740,1783,140811228790.87793,54,41178952487.34492,3,86.9145049826945,65.75958036431715,175,Cloud Servers,207003
China,2015,Cloud Computing,6.519244046661793,30230122240.350986,4360,102,124300096771.3253,269,11955873295.223864,4,88.15223510416811,73.19828022255291,187,Semiconductors,860201
China,2021,Semiconductor,31.221619336371205,45561981734.85274,6408,881,8720694925.01646,489,31093279745.598946,9,41.32275596388516,65.87878497631735,70,5G Equipment,810275
